brand,disc_price,discount,original_price,rating,return_policy,review,std_deliver_fee,title
No Brand,৳ 590,-53%,"৳ 1,250",No Ratings,7 Day Return,,৳ 66,Occasional Saree/Traditional Saree/Half Silk Screen print Saree For Women
No Brand,৳ 699,-58%,"৳ 1,650",6 Ratings,7 Day Return,6 Answered Questions,৳ 66,New Fashionable Stylish Designers High Quality Rewon Cotton Three pice For Women ( 3 Piece ) - Dress For Girls - 3 Pice Dress - Three Piece
No Brand,৳ 410,-59%,"৳ 1,000",5 Ratings,7 Day Return,13 Answered Questions,৳ 66,"New exclusive designed Gown 1piece long kurti, Gown long kurti For Stylish Women / Girls - Kurti For Girls"
No Brand,"৳ 1,120",-25%,"৳ 1,500",No Ratings,7 Day Return,,৳ 66,Uncommon Eid Collection Indian Mumbai Rongdhonu Aari Three Pieces Multicolor for Smart Women/Girls.
,,,,,,,,
No Brand,৳ 330,-72%,"৳ 1,200",51 Ratings,7 Day Return,54 Answered Questions,৳ 66,Moslin Than Saree for womens (pink color) - Sari - Sari
No Brand,৳ 705,-61%,"৳ 1,799",1 Ratings,7 Day Return,1 Answered Questions,৳ 75,treditonal katan saree for women without blouse pice - Sari - Sari
No Brand,৳ 265,-74%,"৳ 1,000",6 Ratings,7 Day Return,4 Answered Questions,৳ 66,Half Silk Saree
No Brand,৳ 750,-70%,"৳ 2,500",1 Ratings,7 Day Return,1 Answered Questions,৳ 66,Moslain yellow jamdani sharee full body Jory - Sari - Saree - শাড়ি
No Brand,৳ 650,-24%,৳ 850,No Ratings,7 Day Return,,৳ 75,Orbit cotton Butix three pieces for woman
,,,,,,,,
No Brand,৳ 439,-66%,"৳ 1,290",10 Ratings,7 Day Return,8 Answered Questions,৳ 89,Unstitched New Block Printed Cotton Salwar Kameez - Dress For Girls
No Brand,৳ 380,-75%,"৳ 1,500",523 Ratings,7 Day Return,231 Answered Questions,৳ 89,Black & White Dhupiyan Check Saree for Women - Sari - Sari - Sari
No Brand,৳ 372,-58%,৳ 890,No Ratings,7 Day Return,,৳ 66,Japani Soft Silk Saree for Women
No Brand,৳ 850,,,No Ratings,7 Day Return,,৳ 66,Readymade 3 Piece Gowns
No Brand,৳ 819,-32%,"৳ 1,200",No Ratings,7 Day Return,,Free,Readymade Linen Two piece 2 piece] Salwar Kamezz for women
No Brand,৳ 580,-33%,৳ 860,No Ratings,7 Day Return,,৳ 66,"Best Quality Indian Screen Embroidery Exclusive,Stylist,Fashionable Pure Cotton Three  Piece "
,,,,,,,,
No Brand,৳ 397,-67%,"৳ 1,199",8 Ratings,7 Day Return,28 Answered Questions,৳ 66,"Exclusive designed Gown 1piece long kurti different koti, Gown long kurti For Stylish Women / Girls - Dress For Girls - 3 Pice Dress - 3 Pice Dress"
No Brand,৳ 420,-42%,৳ 720,2 Ratings,7 Day Return,5 Answered Questions,৳ 66,Jhum Sarees For Women White - Sharee For Women - Sari - Saree - শাড়ি
No Brand,৳ 750,-40%,"৳ 1,250",1 Ratings,7 Day Return,1 Answered Questions,৳ 66,Multi Color Dhupian Screen Print Saree for Women - Sari - Sari
No Brand,৳ 760,-51%,"৳ 1,560",No Ratings,7 Day Return,,৳ 66,New Eid Fashionable Readymade Ground Three Piece Collection by China Linen for Girls and Women.
No Brand,"৳ 1,111",-15%,"৳ 1,300",1 Ratings,7 Day Return,,৳ 66,Pink & Blue Color Nice Combination Designer Good work Block Print Nice Half/Dupian Silk Saree For women - Sari
No Brand,৳ 799,-81%,"৳ 4,199",No Ratings,7 Day Return,,৳ 66,New Joypuri Ari Unstitched Fashionable Stylish Gorgeous Three Piece Set For Women Clothing Salwar Kamiz { 3 Piece } অর্ক কটন আড়ি জয়পুরি থ্রি পিছ - 3 Pice Dress
,,,,,,,,
No Brand,৳ 499,-44%,৳ 899,3 Ratings,7 Day Return,2 Answered Questions,৳ 66,Multi Color Cotton Batik  Print 12 Hand  Saree For Women - Sari - Sari - Sari
No Brand,৳ 750,-50%,"৳ 1,500",1 Ratings,7 Day Return,,৳ 66,Monipuri Tat Cotton Unstitched Three Piece Shalwar Kameez (3 Piece) - 3 Pice Dress - 3 Pice Dress
No Brand,৳ 450,-64%,"৳ 1,250",No Ratings,7 Day Return,,৳ 66,Womens High Quality China Long Kurti Afsan Print China Linen Fabric
No Brand,৳ 299,-50%,৳ 600,10 Ratings,7 Day Return,8 Answered Questions,৳ 66,Tangail Half Silk Flat Color Than Saree for Women - Sari - Sari - Saree - শাড়ি
No Brand,৳ 950,-47%,"৳ 1,799",3 Ratings,7 Day Return,11 Answered Questions,৳ 66,New Indian Stylish Unstitched Tissu Georgette/Jorjet Salwar Kamiz Three Piece (3 Piece) - Dress For Girls
No Brand,৳ 650,-35%,"৳ 1,000",3 Ratings,7 Day Return,4 Answered Questions,৳ 66,Dupiyan Minar Sari - Sharee For Women - Sari - Saree - শাড়ি
No Brand,৳ 379,-79%,"৳ 1,799",1 Ratings,7 Day Return,2 Answered Questions,৳ 66,Japani Soft Silk Sharee For Women -Lal Coffee - Sari
No Brand,৳ 550,-72%,"৳ 2,000",22 Ratings,7 Day Return,18 Answered Questions,৳ 66,Jhum Tower Sarees For Women- Blue Color - Sari - Sari
No Brand,৳ 999,-60%,"৳ 2,500",5 Ratings,7 Day Return,,৳ 75,Cotton Three Piece 3pcs For Women Salwar Kamiz with Chiffon Orna Set - 3 Pice Dress - 3 Pice Dress
No Brand,৳ 350,-12%,৳ 400,No Ratings,7 Day Return,,৳ 66,Cotton Shalwar
No Brand,৳ 300,,,81 Ratings,7 Day Return,89 Answered Questions,৳ 66,Readymade Linen High  Fashionable Stylish And Comfortable kurtis one Piece - Kurti For Girls
