brand,disc_price,discount,original_price,rating,return_policy,review,std_deliver_fee,title
No Brand,৳ 680,-56%,"৳ 1,550",4 Ratings,7 Day Return,4 Answered Questions,৳ 66,Exclusive Design Tangail Half Silk   Nokshi Saree For Women By Jahangir Textile
No Brand,"৳ 1,800",-54%,"৳ 3,950",6 Ratings,7 Day Return,70 Answered Questions,৳ 66,Party stylish lehanga for women
No Brand,৳ 379,-78%,"৳ 1,689",5 Ratings,7 Day Return,4 Answered Questions,৳ 66,Japani Soft Silk Sharee For Women - C Green
No Brand,৳ 559,-49%,"৳ 1,100",2 Ratings,7 Day Return,2 Answered Questions,৳ 66,"Red & Black Color Cotton Unstitched Afsan Print Glorious Design High quality fabric, stylish design, and comfortable salwar Kamiz {Three Piece}"
No Brand,৳ 199,-50%,৳ 399,1 Ratings,7 Day Return,,৳ 66,Regular Wear Mixed Cotton Unstitched Screen Printed Kameez One Piece - Kurti For Girls
No Brand,৳ 399,-68%,"৳ 1,250",1 Ratings,7 Day Return,,৳ 66,Tangail Half Silk Chumki Saree for Women By Saree Center
No Brand,৳ 862,-63%,"৳ 2,344",1 Ratings,7 Day Return,2 Answered Questions,৳ 66,Batik Print Saree Fency Colorful Saree For women - Sari
No Brand,৳ 250,-62%,৳ 650,21 Ratings,7 Day Return,19 Answered Questions,৳ 66,Readymade Stylish Fashionable Koti Hot Kurti For Girls Long Pure Soft Linen (1 Pcs) ShadaMon Shop DT-10 - Kurti For Girls
No Brand,"৳ 1,300",-24%,"৳ 1,700",1 Ratings,7 Day Return,6 Answered Questions,Free,Indian exclusive comfortable soft silk chunri print saree for women
No Brand,৳ 520,-58%,"৳ 1,250",1 Ratings,7 Day Return,,৳ 66,New Unstitched Afsan Print Cotton Three Piece For Women - 3 Pice Dress - 3 Pice Dress
No Brand,৳ 235,-64%,৳ 650,No Ratings,7 Day Return,,Free,Golden Par HalfSilk Saree For Women
No Brand,৳ 532,-47%,৳ 999,1 Ratings,7 Day Return,,৳ 66,New Gorgeous Unstitched SKIN Printed Cotton Three Piece For Women
,,,,,,,,
No Brand,৳ 699,-53%,"৳ 1,499",3 Ratings,7 Day Return,4 Answered Questions,৳ 66,Fashionable Dhupiyan Silk temple pairl Saree . টাঙ্গাইলের তাঁতের শাড়ি
No Brand,৳ 950,-24%,"৳ 1,250",16 Ratings,7 Day Return,26 Answered Questions,৳ 66,Occasional Dress/Couple Set/Matching Dress/Traditionally Dress/Sari And Panjabi
No Brand,৳ 379,-76%,"৳ 1,550",125 Ratings,7 Day Return,86 Answered Questions,৳ 66,Japani Soft Silk Sharee For Women - C Green - Sari
No Brand,৳ 970,-37%,"৳ 1,550",20 Ratings,7 Day Return,19 Answered Questions,৳ 89,Exclusive Designer Dhupiyan Share And Dhupiyan Panjabi For Combo Couple set
No Brand,৳ 549,-21%,৳ 699,13 Ratings,7 Day Return,15 Answered Questions,৳ 66,New Design Gorgeous Unstitched Cotton Screen Printed Salwar Kameez for Women - Dress For Girls - 3 Pice Dress - Three Piece
No Brand,৳ 600,-40%,"৳ 1,000",20 Ratings,7 Day Return,6 Answered Questions,৳ 66,Block Print Cotton Three Piece For Women MA-134 - 3 Pice Dress - 3 Pice Dress
No Brand,৳ 420,-72%,"৳ 1,500",5 Ratings,7 Day Return,7 Answered Questions,৳ 66,Exclusive Black half silk Jhum Saree for Women  - মনিপুরী ঝুম শাড়ি কালো - Sari - Sari
No Brand,"৳ 1,890",-62%,"৳ 5,000",1 Ratings,7 Day Return,,৳ 66,Semi-stitched Pakistani Soft Fabrics Heavy Embroidery Design Party Wear Shalwar Kameez For Women
Indubhala Fashion,৳ 520,-66%,"৳ 1,550",3 Ratings,7 Day Return,4 Answered Questions,৳ 66,Block Printed Cotton Unstitched Three Piece For Women - 3 Pice Dress - 3 Pice Dress
No Brand,৳ 640,-66%,"৳ 1,900",11 Ratings,7 Day Return,12 Answered Questions,৳ 66,New Joypuri Ari Unstitched Fashionable Stylish Gorgeous Three Piece Set For Women Clothing Salwar Kamiz { 3 Piece } অর্ক কটন আড়ি জয়পুরি থ্রি পিছ - 3 Pice Dress
No Brand,৳ 350,-63%,৳ 950,16 Ratings,7 Day Return,32 Answered Questions,৳ 66,Multicolor Half Silk Muslin Than Saree For Women All Colours Available - Sharee For Women - Sari - Sari - Sari
No Brand,৳ 650,-24%,৳ 850,No Ratings,7 Day Return,,৳ 75,Orbit cotton Butix three pieces for woman
No Brand,"৳ 1,050",-58%,"৳ 2,500",2 Ratings,7 Day Return,,৳ 75,Silk semi katan saree for women/tangail semi katan saree
No Brand,৳ 699,-55%,"৳ 1,550",8 Ratings,7 Day Return,16 Answered Questions,৳ 66,New Fashionable Stylish Designers High Quality Rewon Cotton Three pice For Women ( 3 Piece ) - Dress For Girls - 3 Pice Dress - Three Piece - 3 Pice Dress
No Brand,৳ 450,-31%,৳ 650,1 Ratings,7 Day Return,,৳ 66,Trendy Samu Silk Afsan Screen Print Shalwar Kameez For Women - Dress For Girls - 3 Pice Dress - Three Piece
No Brand,"৳ 1,570",-69%,"৳ 5,000",28 Ratings,7 Day Return,3 Answered Questions,৳ 66,Three Piece- Weightless Georgette Heavy Soft Semi Stitched Best Quality Embroidery Work Dress Salwar Kameez For Girl And Women. -  Dress For Girls
No Brand,৳ 599,-25%,৳ 800,1 Ratings,7 Day Return,,৳ 66,Latest Unstitched Skin Print Cotton Three Piece For Women. - 3 Pice Dress - 3 Pice Dress
No Brand,৳ 539,-57%,"৳ 1,250",1 Ratings,7 Day Return,1 Answered Questions,Free,Traditionally Multicolor Half Silk Screen Print Saree For Women
No Brand,৳ 399,-39%,৳ 650,No Ratings,7 Day Return,,৳ 66,Unstitched High Quality Block Printed Cotton Salwar Kamiz
No Brand,"৳ 1,970",-75%,"৳ 8,000",49 Ratings,7 Day Return,24 Answered Questions,৳ 66,Party Gown- Weightless Georgette Semi Stitched Heavy Soft Dress Best Quality Embroidery Work With Anarkali Gown For Girl And Women. - Lehenga For Girls
No Brand,৳ 525,-47%,৳ 994,9 Ratings,7 Day Return,3 Answered Questions,৳ 66,"White Color Joypuri Cotton Unstitched Screen Print Exclusive, Stylist, Fashionable Three Pics For Woman. - Dress For Girls - 3 Pice Dress - 3 Pice Dress"
No Brand,৳ 570,-51%,"৳ 1,155",1 Ratings,7 Day Return,,,Gorgeous Unstitched Cotton Screen Printed Salwar Kameez for Women ( Cotton 3 pcs Dress ) By Apan Bazar - Dress For Girls - 3 Pice Dress - Three Piece
No Brand,৳ 570,-62%,"৳ 1,520",No Ratings,7 Day Return,,৳ 66,New Eid Fashionable Readymade Kashmiri Ari work two piece china linen Collection For Women and Girls
No Brand,৳ 630,-3%,৳ 650,1 Ratings,7 Day Return,1 Answered Questions,৳ 89,New Exclusive Rongdhonu Paar Chumki Saree for Women - Sari - Sari
No Brand,৳ 499,-50%,"৳ 1,000",2 Ratings,7 Day Return,,৳ 66,Eye Catching Rangdhanu Chumki Saree-All Colour - Sari - Sari - Saree - শাড়ি
No Brand,৳ 299,-70%,"৳ 1,000",4 Ratings,7 Day Return,2 Answered Questions,৳ 66,Moslin Than Saree for womens-Levendour color
No Brand,৳ 450,-55%,৳ 999,3 Ratings,7 Day Return,10 Answered Questions,৳ 89,Georgette Embroidery karchupi Salwar Kameez for Women [3 piece] - 3 Pice Dress - 3 Pice Dress
No Brand,৳ 489,-64%,"৳ 1,350",2 Ratings,7 Day Return,,৳ 66,Tangail Cotton Jharna Saree For Women
No Brand,"৳ 1,350",-13%,"৳ 1,550",No Ratings,7 Day Return,,৳ 75,New Indian Vichitra  Saree High Quality Embroidery Work On Blouse
No Brand,৳ 241,-68%,৳ 750,4 Ratings,7 Day Return,,৳ 66,Readymade Stylish Fashionable Koti Hot Kurti For Girls Long Pure Soft Linen (1 Pcs) ShadaMon Shop DT - Kurti For Girls - Kurti For Girls
No Brand,৳ 830,-31%,"৳ 1,200",12 Ratings,7 Day Return,,৳ 66,Hand Made Dupiyan Silk Saree For women - Sari - Sari
No Brand,৳ 680,-58%,"৳ 1,620",6 Ratings,7 Day Return,1 Answered Questions,৳ 75,Saree jamdani halfsilk saree for women/yellow colour saree
No Brand,৳ 320,-29%,৳ 450,No Ratings,7 Day Return,,Free,Palazzo Pant For Woman Ladies Pant Soft & Stretchable
No Brand,৳ 250,-48%,৳ 480,1 Ratings,7 Day Return,3 Answered Questions,৳ 66,Readymade Stylish Fashionable Hot Kurti Kamiz For Girls Long Pure Soft Linen (1 Pcs) ShadaMon Shop - Kurti For Girls
No Brand,৳ 380,,,2 Ratings,7 Day Return,1 Answered Questions,৳ 66,"New Exclusive long kurti, deferent kurti, China Lilen clothes, long 1 piece Kurtis For Women/Girls - Kurti For Girls - Kurti For Girls"
No Brand,৳ 270,-69%,৳ 880,2 Ratings,7 Day Return,2 Answered Questions,৳ 75,Halfsilk Sirajganj Tat Saree for Women's Blue
No Brand,৳ 630,,,No Ratings,7 Day Return,,Free,Chunri Three pieces
No Brand,৳ 269,-59%,৳ 650,3 Ratings,7 Day Return,,৳ 66,Moslin Than Sarees For Women by  Tangail Saree Online Shopping
No Brand,৳ 399,-73%,"৳ 1,500",26 Ratings,7 Day Return,40 Answered Questions,৳ 66,"Latest Designed, High Quality Cotton Fabric, Exclusive, Fashionable, Stylish and Comfortable, Salwar Kameez for Women - 3 Pice Dress - 3 Pice Dress"
No Brand,৳ 630,-28%,৳ 870,No Ratings,7 Day Return,,Free,"Orbit Lawn cotton Unstitched Digital Print Exclusive Fashionable, Stylish and Comfortable Salwar Kameez cloth for Women"
No Brand,৳ 410,-57%,৳ 950,2 Ratings,7 Day Return,3 Answered Questions,৳ 66,Fashionable Tangail Tat Saree for Women - Sari - Sari
No Brand,৳ 599,-0.2%,৳ 600,6 Ratings,7 Day Return,5 Answered Questions,৳ 66,Unstitched Rainbow ball Print Three Piece For Women রেগুলার পরার জন্যে রংধনু সেলোয়ার কামিজ
No Brand,৳ 499,-17%,৳ 599,No Ratings,7 Day Return,,৳ 75,Tangaile khes saree for kids. Baby tangaile saree
No Brand,৳ 450,-55%,"৳ 1,000",30 Ratings,7 Day Return,34 Answered Questions,৳ 66,Pluz model saree(black colour) - Sari - Saree - শাড়ি
No Brand,৳ 500,-58%,"৳ 1,200",No Ratings,7 Day Return,,৳ 66,Blue color tangail half silk Nokshi Saree for Women
No Brand,৳ 799,-38%,"৳ 1,290",No Ratings,7 Day Return,,৳ 66,Eid Collection Sada Pori Three Piece For Women.
No Brand,"৳ 1,180",-45%,"৳ 2,150",No Ratings,7 Day Return,,৳ 66,Exclusive Cotton Chundri Batik Unstitch Four Piece
No Brand,৳ 250,-62%,৳ 650,2 Ratings,7 Day Return,,৳ 66,Readymade Stylish Fashionable Koti Hot Kurti For Girls Long Pure Soft Linen (1 Pcs) ShadaMon Shop KT-140 - Kurti For Girls
No Brand,৳ 490,-55%,"৳ 1,100",No Ratings,7 Day Return,1 Answered Questions,Free,Rose Leaf Embroidery work Unstitched Weightless Georgette Shalwar Kameez Four Piece (4 Piece)-Products name
No Brand,"৳ 1,799",-38%,"৳ 2,900",3 Ratings,7 Day Return,2 Answered Questions,৳ 66,Letest Exclushive Collection High qualitiey Indian Weightless Georgette embroidery work Three Piece [3PC] - Dress For Girls
No Brand,৳ 310,-70%,"৳ 1,050",46 Ratings,7 Day Return,25 Answered Questions,৳ 66,Dhupain Cheak Sarees For Women Black Red Tangail share - Sari
No Brand,৳ 650,-24%,৳ 850,No Ratings,7 Day Return,,৳ 75,Orbit cotton Butix three pieces for woman
No Brand,৳ 690,-34%,"৳ 1,050",No Ratings,7 Day Return,,৳ 66,Gorgeous Georgette Amazing Wedding Wear Hand Work Kameez Suit ReadyMade Embroidery 2pcs Party Gown
No Brand,৳ 379,-75%,"৳ 1,520",4 Ratings,7 Day Return,,৳ 66,Japani Soft Silk Saree for Women-Dark Ash
No Brand,৳ 585,-51%,"৳ 1,200",No Ratings,7 Day Return,,৳ 66,Fashionable Dupian Silk Tower Saree for Women
No Brand,৳ 750,-44%,"৳ 1,350",No Ratings,7 Day Return,,৳ 66,"""Women's High-Quality Alex Georgette stylish Long Kurti"
No Brand,৳ 730,-60%,"৳ 1,820",11 Ratings,7 Day Return,2 Answered Questions,৳ 75,semi katan saree for women - Sari - Sari
,,,,,,,,
No Brand,৳ 900,-40%,"৳ 1,500",No Ratings,7 Day Return,,৳ 89,Half Silk Exclusive Design Hand Printed Saree for women
No Brand,৳ 580,-60%,"৳ 1,450",2 Ratings,7 Day Return,1 Answered Questions,৳ 66,New exclusive designed Linen Screen Print Gown Poppon Work 3piece long kurti For Stylish Women / Girls - Kurti For Girls - Kurti For Girls
No Brand,৳ 599,-54%,"৳ 1,300",17 Ratings,7 Day Return,3 Answered Questions,৳ 75,মহিলাদের জন্য ট্র্যাডিশনাল আনস্টিচড ওয়েটলেস জামদানি শাড়ি - Sari - Sari
No Brand,৳ 650,-35%,"৳ 1,000",12 Ratings,7 Day Return,2 Answered Questions,৳ 66,Printed Kaftan Stitched China Linen Comfortable standard stylish Kaftan & Maternity collection for women - Kurti For Girls
No Brand,৳ 550,-44%,৳ 980,2 Ratings,7 Day Return,,Free,Indian New Stylish Exclushive Collection Weatless Goergett Computer Abroydary Work Three Piece Salower Kameez For Women
No Brand,৳ 799,-46%,"৳ 1,490",No Ratings,7 Day Return,,৳ 66,Exclusive collection Pearl long gown v2 for women
No Brand,৳ 997,-36%,"৳ 1,550",No Ratings,7 Day Return,,৳ 66,Stylish & fashionable New Matching best /Couple Dress/ For Men & Women /Saree Panjabi/ (Combo Set)
No Brand,৳ 510,-54%,"৳ 1,099",2 Ratings,7 Day Return,2 Answered Questions,৳ 66,"Light Golapi Joypuri Cotton Unstitched Screen Print Exclusive, Stylist, Fashionable Three Pics For Woman. - 3 Pice Dress - 3 Pice Dress"
No Brand,৳ 420,-80%,"৳ 2,100",3 Ratings,7 Day Return,1 Answered Questions,৳ 66,Tangail Half Silk Mina Jamdani Saree  for Women - Sari - Saree - শাড়ি
No Brand,৳ 545,-56%,"৳ 1,250",1 Ratings,7 Day Return,,৳ 66,"Unstitched Exclusive, Fashionable, Stylish and Comfortable, তুলি স্কিন প্রিন্ট(3pice) - Dress For Girls - 3 Pice Dress - Three Piece"
No Brand,৳ 300,-50%,৳ 600,8 Ratings,7 Day Return,13 Answered Questions,৳ 75,Saree small baby silk saree/small saree for baby - Sari - Sari - Saree - শাড়ি
No Brand,৳ 460,-54%,"৳ 1,000",14 Ratings,7 Day Return,8 Answered Questions,৳ 66,Unstitched Georgette Embroidery Work Salwar Kameez For Women { 3 Piece} - Salwar Kameez - 3 Pice Dress - 3 Pice Dress
No Brand,"৳ 1,799",-64%,"৳ 5,000",2 Ratings,7 Day Return,10 Answered Questions,৳ 89,Sobaroy Semi-Stitched Soft Weightless Georgette Party Wear Embroidery Design Shalwar Kameez Suits For Women
No Brand,৳ 350,-36%,৳ 550,1 Ratings,7 Day Return,,৳ 66,Stylish Kurti Collection 1 Piece for Women
,,,,,,,,
No Brand,৳ 980,-11%,"৳ 1,100",1 Ratings,7 Day Return,,Free,Handstich Cotton High Quality Un-Stitched Salwar Kamiz/Dress For Women/Three Piece/Cotton Dress For Women/Girls/Ladies (3 Piece/Pis/Pcs)
No Brand,৳ 379,-76%,"৳ 1,589",8 Ratings,7 Day Return,11 Answered Questions,৳ 66,Japani Soft Silk Saree for Women - Deep Maroon - Sari - Saree - শাড়ি
No Brand,৳ 220,-51%,৳ 450,5 Ratings,7 Day Return,6 Answered Questions,৳ 66,"Latest Designed,Linen Cotton Fabric, Exclusive, Fashionable, Stylish and Comfortable, Kurtis for Girls (Shadamon Shop) PL- - Kurti For Girls"
,,,,,,,,
No Brand,৳ 380,,,5 Ratings,7 Day Return,8 Answered Questions,৳ 66,"New exclusive designed Gown 1piece long kurti different koti, Gown long kurti For Stylish Women / Girls - Kurti For Girls"
No Brand,৳ 799,-59%,"৳ 1,950",No Ratings,7 Day Return,,৳ 66,Eid new fashionable Lace Ari three pieces collection for women and girls
No Brand,৳ 559,-49%,"৳ 1,100",2 Ratings,7 Day Return,2 Answered Questions,৳ 66,"Royel Blue & Piroza Color Cotton Unstitched Afsan Print Glorious Design High quality fabric, stylish design, and comfortable salwar Kamiz {Three Piece}"
No Brand,৳ 440,-86%,"৳ 3,200",10 Ratings,7 Day Return,18 Answered Questions,৳ 66,Exclusive Jum Sharee For Women - Sari
No Brand,৳ 580,-63%,"৳ 1,550",3 Ratings,7 Day Return,5 Answered Questions,৳ 66,Exclusive Design Half Silk Nokshi Saree For Women By Jahangir Textile
No Brand,"৳ 1,800",-28%,"৳ 2,500",No Ratings,7 Day Return,,৳ 89,Georgette Embroidery New Stylish Party Long Gown Dress for women
No Brand,৳ 242,-46%,৳ 450,1 Ratings,7 Day Return,2 Answered Questions,৳ 66,Readymade Round Stylish Fashionable Hot Kurti For Girls Long Pure Soft Linen (1 Pcs)
No Brand,৳ 499,-52%,"৳ 1,030",No Ratings,7 Day Return,,৳ 66,New Fashionable Readymade Kashmiri Ari work two piece china linen
No Brand,৳ 499,-38%,৳ 799,3 Ratings,7 Day Return,9 Answered Questions,৳ 66,Multi Color Batik Print  Cotton Saree For Women - Sari - Saree - শাড়ি
No Brand,৳ 400,-60%,"৳ 1,000",32 Ratings,7 Day Return,48 Answered Questions,৳ 66,Unstitched Weightless Georgette Embroidery & Karchupi Salwar Kameez For Women [3 Peice] - Dress For Girls - Dress For Girls - 3 Pice Dress - Three Piece
No Brand,৳ 599,,,1 Ratings,7 Day Return,,৳ 89,Premium net saree for women
No Brand,৳ 390,-20%,৳ 490,20 Ratings,7 Day Return,34 Answered Questions,৳ 66,Japani Silk Saree for Women - Coffee - Sari - Sari - Saree - শাড়ি
,,,,,,,,
No Brand,৳ 540,-45%,৳ 990,No Ratings,7 Day Return,1 Answered Questions,৳ 66,Premium Quality Unstitched Salwar Kameez Latest Design Three Piece For Women
No Brand,৳ 550,-56%,"৳ 1,250",No Ratings,7 Day Return,4 Answered Questions,৳ 66,Gorgeous Screen Print Half Silk Saree For Women
No Brand,৳ 490,-90%,"৳ 5,000",12 Ratings,7 Day Return,1 Answered Questions,৳ 66,Party Gown- Rayon Cotton Radymade Heavy Soft Dress Best Quality Embroidery Work With Anarkali Gown For Girl And Women. - Kurti For Girls
No Brand,৳ 280,-57%,৳ 650,1 Ratings,7 Day Return,,৳ 66,Stone works Comfortable Soft Winter Wear Velvet Chador - 3 Pice Dress - 3 Pice Dress
No Brand,৳ 699,-56%,"৳ 1,599",No Ratings,7 Day Return,,৳ 66,China liliyen er upore srccen print kaj kora  Golay computer er kaj kora
No Brand,৳ 400,-80%,"৳ 2,000",3 Ratings,7 Day Return,1 Answered Questions,৳ 66,Japani Silk Sari Maron Color For Women - Sharee For Women - Sari - Saree - শাড়ি
No Brand,৳ 289,-71%,"৳ 1,000",3 Ratings,7 Day Return,1 Answered Questions,৳ 66,One Colour Flat  Than Saree without blous pieces for women - Sari - Sari
No Brand,৳ 727,-52%,"৳ 1,500",3 Ratings,7 Day Return,3 Answered Questions,৳ 75,Saree jamdani half silk saree - Sari - Saree - শাড়ি
No Brand,৳ 650,-24%,৳ 850,No Ratings,7 Day Return,,৳ 75,Orbit cotton Butix three pieces for woman
No Brand,৳ 430,-63%,"৳ 1,150",2 Ratings,7 Day Return,4 Answered Questions,৳ 66,New Exclusive Designed Linen Full Screenprint And Les Work 2Piece For Stylish Women / Girls - Tops For Girls Long Kurti
No Brand,৳ 539,-55%,"৳ 1,199",22 Ratings,7 Day Return,18 Answered Questions,৳ 66,Cotton Unstitched Screen Print Three Piece for Women - Dress For Girls - 3 Pice Dress - Three Piece
No Brand,৳ 489,-46%,৳ 900,13 Ratings,7 Day Return,6 Answered Questions,৳ 66,Couching Stitch Embroidery work Unstitched Weightless Georgette Shalwar Kameez Four Piece (4 Piece) - Dress For Girls - 3 Pice Dress - Three Piece
No Brand,৳ 450,-44%,৳ 800,9 Ratings,7 Day Return,1 Answered Questions,৳ 66,Fashionable Halfsilk Chumki Saree for Womens-All color
No Brand,৳ 550,-54%,"৳ 1,200",22 Ratings,7 Day Return,27 Answered Questions,৳ 66,New Desing Stylish Unstitched  Tissue Embroidery Work Shalwar Kamiz Four Piece (4 Piece) - Dress For Girls - 3 Pice Dress - Three Piece
No Brand,৳ 799,-49%,"৳ 1,560",No Ratings,7 Day Return,,৳ 66,Eid fashionable Lace Ari three pieces collection for women and girls
No Brand,৳ 585,-38%,৳ 945,46 Ratings,7 Day Return,31 Answered Questions,,Unstitched Cotton Screen Printed Salwar Kameez for Women ( Suti 3pcs )
No Brand,৳ 540,-45%,৳ 990,2 Ratings,7 Day Return,,৳ 66,New Cotton Unstitched Skin Print High Quality Three Piece For Women - 3 Pice Dress
No Brand,৳ 539,-57%,"৳ 1,250",1 Ratings,7 Day Return,,Free,Traditionally Multicolor Half Silk Screen Print Saree For Women
No Brand,৳ 450,-55%,"৳ 1,000",5 Ratings,7 Day Return,4 Answered Questions,৳ 66,japan pizassa Color Soft Silk Saree For women[ Saree with Blouse Piece] - Sari - Sari
No Brand,৳ 930,-45%,"৳ 1,700",No Ratings,7 Day Return,,৳ 66,Fashionable Design Linen Fabrics Three Piece For Girls/Women
No Brand,৳ 511,-54%,"৳ 1,100",6 Ratings,7 Day Return,14 Answered Questions,,Multi-color Soft Cotton Screen Print Salwar Kameez For Women - Salwar Kameez - 3 Pice Dress - 3 Pice Dress
No Brand,৳ 549,-65%,"৳ 1,550",2 Ratings,7 Day Return,,৳ 75,silk jamdani saree for women's without blause piche
No Brand,"৳ 1,187",-23%,"৳ 1,550",No Ratings,7 Day Return,,Free,Net Four Piece(4 Piece) Party Dress for women
No Brand,৳ 390,-48%,৳ 750,1 Ratings,7 Day Return,1 Answered Questions,৳ 66,"Black Color Unstitched Cotton Good, Fashionable, Stylish and Comfortable, Good Printed 2 Piece for Women - Dress For Girls - 3 Pice Dress - Three Piece"
No Brand,"৳ 1,150",-42%,"৳ 2,000",2 Ratings,7 Day Return,6 Answered Questions,৳ 66,Mashlaish Cotton (মাসলাইস কটন) Tangail Tant Saree With Running Blouse Piece For Women
No Brand,৳ 550,-63%,"৳ 1,500",No Ratings,7 Day Return,,৳ 66,Indian New Stylish Exclushive Collection Weatless Goergett Computer Ambroydary Work Three Piece Salower Kameez For Women - 3 Pice Dress
No Brand,৳ 165,-63%,৳ 450,16 Ratings,7 Day Return,16 Answered Questions,৳ 66,Multi-Color Linen Kurti for Women - Kurti For Girls - Kurti For Girls
No Brand,৳ 525,-50%,"৳ 1,050",2 Ratings,7 Day Return,1 Answered Questions,৳ 66,"Multicolor Joypuri Cotton Unstitched Skin Print High Quality, Comfortable Three Piece For Women - 3 Pice Dress - 3 Pice Dress"
No Brand,৳ 550,-72%,"৳ 1,950",6 Ratings,7 Day Return,7 Answered Questions,৳ 66,Exclusive Design Multicolour Black Pink Silk Jamdani Mina Kari Saree for Women By Dream Collection(TAN) Tangail Sari - Sari - Saree - শাড়ি
No Brand,"৳ 1,750",-10%,"৳ 1,950",No Ratings,7 Day Return,,Free,Indian Chiken Curry three piece(3 piece)
No Brand,"৳ 1,662",-15%,"৳ 1,950",No Ratings,7 Day Return,,Free,Indian Chiken Curry three piece(3 piece)
No Brand,৳ 749,-49%,"৳ 1,470",No Ratings,7 Day Return,,৳ 66,Fashionable Tangail saree for women
No Brand,৳ 535,-53%,"৳ 1,150",32 Ratings,7 Day Return,21 Answered Questions,৳ 66,"Pink Joypuri Cotton Unstitched Afsan Print High Quality, Comfortable Three Piece For Women - Dress For Girls - 3 Pice Dress - Three Piece"
No Brand,৳ 630,-28%,৳ 870,No Ratings,7 Day Return,,Free,"Orbit Lawn cotton Unstitched Digital Print Exclusive Fashionable, Stylish and Comfortable Salwar Kameez cloth for Women"
,,,,,,,,
No Brand,৳ 520,-66%,"৳ 1,550",42 Ratings,7 Day Return,14 Answered Questions,৳ 66,New Gorgeous Unstitched Cotton Screen Printed Salwar Kameez for Women ( 3 piece ) - Dress For Girls - 3 Pice Dress - Three Piece
No Brand,৳ 525,-61%,"৳ 1,350",2 Ratings,7 Day Return,,৳ 66,New Gorgeous Unstitched Cotton Screen Printed Salwar Kameez for Women ( 3 Piece ) - 3 Pice Dress
No Brand,৳ 850,-57%,"৳ 2,000",1 Ratings,7 Day Return,2 Answered Questions,Free,Soft Silk Katan Saree Without Blouse Piece For Women
No Brand,৳ 599,-63%,"৳ 1,599",19 Ratings,7 Day Return,17 Answered Questions,৳ 66,New Georgette  Embroidery Three piece for women - Lehenga For Girls - Lehenga For Girls
,,,,,,,,
No Brand,৳ 775,-35%,"৳ 1,200",1 Ratings,7 Day Return,8 Answered Questions,৳ 66,Fashionable Western Ladies Blazer and Gown Tops denim style Kurti for girls\ women - Lehenga For Girls - Lehenga For Girls
No Brand,৳ 699,-44%,"৳ 1,250",3 Ratings,7 Day Return,3 Answered Questions,৳ 66,Soft Quality Casual Tat Party Saree For Women High Quality - Sari - Sari
No Brand,৳ 550,-63%,"৳ 1,500",5 Ratings,7 Day Return,,Free,ব্লাউজ পিস ছাড়া মহিলাদের জন্য আই ক্যাচিং কালেকশন মাল্টিকালার সিল্ক শাড়ি - Sari - Saree - শাড়ি - Sari - Sari
No Brand,৳ 440,-76%,"৳ 1,800",23 Ratings,7 Day Return,21 Answered Questions,৳ 66,Fahionable trendy collection plus border Saree for Womens-White color - Sari - Sari
No Brand,৳ 924,-63%,"৳ 2,500",2 Ratings,7 Day Return,2 Answered Questions,৳ 75,Saree semi katan saree without blouse pice  for women's - Sari - Sari
No Brand,৳ 750,-52%,"৳ 1,549",11 Ratings,7 Day Return,11 Answered Questions,৳ 66,জর্জেট থ্রি পিস China Net Febrics Georgette Embroidery Work Salwar Kameez Three Piece For Women - Dress For Girls - 3 Pice Dress - Three Piece
No Brand,৳ 582,-63%,"৳ 1,580",7 Ratings,7 Day Return,7 Answered Questions,৳ 66,"Nakful jamdani saree/Nakful jamdani saree colour black,maroon Saree Same as picture Saari for woman Sari collection Saree for woman Tangail saree Shari for woman Saari for girl Saari for woman,Tangail Tat Shilpo (TAN) - Sharee For Women - Sari"
No Brand,৳ 449,-55%,৳ 999,1 Ratings,7 Day Return,,৳ 66,New exclusive designed  high quality Screen Print Gown 2 pis for women. - Kurti For Girls - Kurti For Girls
No Brand,৳ 549,-31%,৳ 799,3 Ratings,7 Day Return,,৳ 66,Exclusive VIP Skin Print Unstitched Cotton Three Piece Salwar Kamiz (3 Piece) - 3 Pice Dress - 3 Pice Dress
No Brand,৳ 420,-77%,"৳ 1,800",9 Ratings,7 Day Return,6 Answered Questions,৳ 66,Jhum Saree for womens - Sari - Sari
No Brand,৳ 350,-54%,৳ 760,1 Ratings,7 Day Return,,৳ 66,"Muslin Than Shari Lamenta Colour Saree Same As Picture Saari For Woman Sari Collection Saree For Woman  Tangail Saree Shari For Woman Saari For Girl Saari For Woman,Tangail Tat Shilpo (Tan) - Sharee For Women - Sari - Saree - শাড়ি"
No Brand,৳ 309,-33%,৳ 460,No Ratings,7 Day Return,,Free,Tangail Moslin Than Saree for womens
No Brand,৳ 255,-74%,"৳ 1,000",21 Ratings,7 Day Return,6 Answered Questions,৳ 66,"Pcs Half Silk Saree For Women, Girls, Ladies - Sari"
No Brand,৳ 780,-61%,"৳ 2,000",3 Ratings,7 Day Return,1 Answered Questions,৳ 66,Exclusive Cotton Chumki Saree For Women
No Brand,৳ 650,-46%,"৳ 1,200",No Ratings,7 Day Return,,৳ 66,One Piece Ready made Kurti For Woman office wear casual wear gown gawn kurti frock dress women's outfit
,,,,,,,,
No Brand,৳ 550,-56%,"৳ 1,250",No Ratings,7 Day Return,,৳ 66,Gorgeous Screen Print Half Silk Saree For Women
,,,,,,,,
